	Bayesian Skyline: ref_25_rpoB_KEV_combined.log			
Time	Mean	Median	Upper	Lower
-3318.924461446437	495143.4557747543	287007.8573931787	2022027.1609157603	15998.639767774923
-3383.960125610418	490012.33197816816	282076.9545016603	2018739.0529898994	15150.575208613129
-3448.995789774399	485105.9752281448	277258.13477784325	2018333.2901794685	14567.904193392735
-3514.03145393838	479854.10936596664	272604.09621976933	2009576.4431694176	13959.130742680496
-3579.067118102361	474658.6749399582	268137.5457717788	2005299.6856486828	13388.550521710284
-3644.102782266342	469697.4953347113	263777.5457789985	2001976.2572840834	12896.625901567992
-3709.138446430323	465139.2886210111	259708.17462328234	1999370.2099170196	12338.663663838892
-3774.174110594304	459826.6642029497	255508.23988463997	1995386.5769624992	11679.843010872717
-3839.2097747582848	454886.9162298196	251618.73423046776	1989736.9048161115	11189.161450513922
-3904.2454389222657	449809.08477615495	247432.56535958702	1984461.8459014676	10661.229680151228
-3969.2811030862467	445226.4956037325	243981.1618834628	1977826.9442262664	10127.207002949859
-4034.3167672502277	440375.9551118986	239889.82529536478	1975550.6716890705	9687.69648686172
-4099.352431414209	435465.8874639733	236168.04686312925	1971653.135013122	9242.653057860023
-4164.38809557819	430454.2704558858	232524.47908892736	1961908.5573526635	8681.053071267475
-4229.423759742171	425690.83352730155	229305.0724347123	1954056.4579660965	8278.624086639456
-4294.459423906152	421096.5571156358	225568.7015161887	1950993.065886274	7837.800867592865
-4359.495088070133	416525.6116019755	222259.89420624403	1945692.2903604773	7422.324715701147
-4424.530752234114	NaN	NaN	NaN	NaN
